rating,user_item
1,1_61
1,1_33
1,1_171
1,1_265
1,1_113
1,1_266
1,1_70
1,1_27
1,1_159
1,1_6
1,1_104
1,1_49
1,1_96
1,1_233
1,1_78
1,1_175
1,1_107
1,1_259
1,1_108
1,1_163
1,1_201
1,1_242
1,1_241
1,1_130
1,1_24
1,1_86
1,1_196
1,1_73
1,1_190
1,1_214
1,1_102
1,1_170
1,1_38
1,1_187
1,1_166
1,1_138
1,1_269
1,1_270
1,1_205
1,1_99
1,1_1
1,1_34
1,1_271
1,1_181
1,1_131
1,1_182
1,1_192
1,1_87
1,1_238
1,1_167
1,1_115
1,1_79
1,1_45
1,1_42
1,1_165
1,1_198
1,1_58
1,1_216
1,1_244
1,1_29
1,1_59
1,1_111
1,1_88
1,1_172
1,1_152
1,2_290
1,2_305
1,2_306
1,2_269
1,2_285
1,3_337
1,3_332
1,3_328
1,3_334
1,3_350
1,3_324
1,3_348
1,3_342
1,3_352
1,3_325
1,4_359
1,5_439
1,5_424
1,5_102
1,5_211
1,5_231
1,5_407
1,5_384
1,5_426
1,5_453
1,5_241
1,5_40
1,5_90
1,5_230
1,5_79
1,5_144
1,5_243
1,5_393
1,5_428
1,5_214
1,5_451
1,5_430
1,5_186
1,5_432
1,5_456
1,5_452
1,5_172
1,5_414
1,5_250
1,5_450
1,5_374
1,5_446
1,5_419
1,6_14
1,6_492
1,6_478
1,6_532
1,6_475
1,6_209
1,6_19
1,6_523
1,6_432
1,6_133
1,6_70
1,6_197
1,6_193
1,6_486
1,6_56
1,6_518
1,6_534
1,6_100
1,6_480
1,6_494
1,6_22
1,6_259
1,6_137
1,6_174
1,6_505
1,6_516
1,6_186
1,6_177
1,6_168
1,6_185
1,6_502
1,6_89
1,6_7
1,6_491
1,6_257
1,6_223
1,6_340
1,6_306
1,6_285
1,6_111
1,6_539
1,6_490
1,6_202
1,7_32
1,7_479
1,7_497
1,7_378
1,7_472
1,7_623
1,7_674
1,7_151
1,7_643
1,7_650
1,7_196
1,7_560
1,7_133
1,7_193
1,7_627
1,7_300
1,7_526
1,7_92
1,7_168
1,7_432
1,7_657
1,7_142
1,7_423
1,7_208
1,7_618
1,7_498
1,7_669
1,7_101
1,7_136
1,7_484
1,7_154
1,7_562
1,7_191
1,7_227
1,7_514
1,7_396
1,7_121
1,7_448
1,7_482
1,7_264
1,7_389
1,7_334
1,7_579
1,7_259
1,7_496
1,7_515
1,7_491
1,7_499
1,7_216
1,7_588
1,7_201
1,7_611
1,7_229
1,7_616
1,7_77
1,7_405
1,7_56
1,7_552
1,7_613
1,7_47
1,7_157
1,7_590
1,7_585
1,7_436
1,7_73
1,7_545
1,7_605
1,7_606
1,7_544
1,7_649
1,7_356
1,7_568
1,7_470
1,7_180
1,7_546
1,7_443
1,7_602
1,7_586
1,7_365
1,7_39
1,7_125
1,7_427
1,7_318
1,7_265
1,7_415
1,7_197
1,7_12
1,7_421
1,7_50
1,7_357
1,7_521
1,7_173
1,7_367
1,7_598
1,8_457
1,8_301
1,8_518
1,8_181
1,8_403
1,8_55
1,9_521
1,9_483
1,10_16
1,10_486
1,10_100
1,10_488
1,10_124
1,10_4
1,10_64
1,10_385
1,10_160
1,10_176
1,10_435
1,10_371
1,10_269
1,10_195
1,10_13
1,10_199
1,10_710
1,10_603
1,10_127
1,10_474
1,10_82
1,10_510
1,10_357
1,10_161
1,10_697
1,10_157
1,10_302
1,10_694
1,10_606
1,10_221
1,10_432
1,10_274
1,10_33
1,10_174
1,10_182
1,10_134
1,10_462
1,10_513
1,10_60
1,10_185
1,10_276
1,10_192
1,10_470
1,10_23
1,10_700
1,10_707
1,10_686
1,10_9
1,11_723
1,11_312
1,11_743
1,11_428
1,11_90
1,11_47
1,11_721
1,11_739
1,11_663
1,11_395
1,11_194
1,11_109
1,11_191
1,11_258
1,11_654
1,11_57
1,11_692
1,11_508
1,11_719
1,11_237
1,11_544
1,11_731
1,11_662
1,11_646
1,11_724
1,11_54
1,11_401
1,11_52
1,11_58
1,11_213
1,12_96
1,12_97
1,12_204
1,12_191
1,12_28
1,12_200
1,12_318
1,12_392
1,12_159
1,12_161
1,12_88
1,13_526
1,13_809
1,13_823
1,13_121
1,13_308
1,13_66
1,13_320
1,13_848
1,13_97
1,13_570
1,13_844
1,13_918
1,13_273
1,13_300
1,13_755
1,13_859
1,13_428
1,13_168
1,13_319
1,13_88
1,13_794
1,13_421
1,13_894
1,13_786
1,13_612
1,13_353
1,13_861
1,13_21
1,13_467
1,13_118
1,13_539
1,13_802
1,13_391
1,13_230
1,13_501
1,13_219
1,13_617
1,13_281
1,13_694
1,13_624
1,13_866
1,13_271
1,13_847
1,13_294
1,13_588
1,13_276
1,13_659
1,13_414
1,13_912
1,13_874
1,13_682
1,13_589
1,13_481
1,13_210
1,13_889
1,13_559
1,13_237
1,13_785
1,13_606
1,13_663
1,13_350
1,13_342
1,13_686
1,13_884
1,13_347
1,13_191
1,13_79
1,13_339
1,13_712
1,13_68
1,13_404
1,13_621
1,13_801
1,13_795
1,13_603
1,13_518
1,13_7
1,13_792
1,13_494
1,13_879
1,13_900
1,13_845
1,13_747
1,13_194
1,13_763
1,13_413
1,13_332
1,13_737
1,13_865
1,13_818
1,13_453
1,13_655
1,13_891
1,13_789
1,13_797
1,13_164
1,13_448
1,13_473
1,13_348
1,13_687
1,13_806
1,13_307
1,13_323
1,13_382
1,13_239
1,13_902
1,13_690
1,13_274
1,13_662
1,13_62
1,13_288
1,13_275
1,13_777
1,13_566
1,13_184
1,13_49
1,13_819
1,13_779
1,13_837
1,13_358
1,13_522
1,13_813
1,13_9
1,13_870
1,13_429
1,13_541
1,13_166
1,13_822
1,14_709
1,14_22
1,14_13
1,14_408
1,14_7
1,14_211
1,14_181
1,14_42
1,14_23
1,14_168
1,14_596
1,14_477
1,14_921
1,14_32
1,14_222
1,14_288
1,14_628
1,14_265
1,14_430
1,14_919
1,14_240
1,14_382
1,14_524
1,14_663
1,14_525
1,15_405
1,15_137
1,15_924
1,15_471
1,15_933
1,15_744
1,15_409
1,15_928
1,15_14
1,15_302
1,15_280
1,15_243
1,15_257
1,15_181
1,15_283
1,15_258
1,16_178
1,16_89
1,16_191
1,16_288
1,16_22
1,16_230
1,16_735
1,16_99
1,16_496
1,16_95
1,16_4
1,16_200
1,16_109
1,16_58
1,16_98
1,16_476
1,16_273
1,16_661
1,16_732
1,16_939
1,17_117
1,17_269
1,18_202
1,18_729
1,18_113
1,18_863
1,18_58
1,18_647
1,18_196
1,18_954
1,18_25
1,18_181
1,18_180
1,18_778
1,18_732
1,18_215
1,18_237
1,18_188
1,18_485
1,18_64
1,18_275
1,18_126
1,18_70
1,18_318
1,18_79
1,18_4
1,18_45
1,18_520
1,18_211
1,18_61
1,18_91
1,18_284
1,18_474
1,18_9
1,18_213
1,18_805
1,18_285
1,18_649
1,18_969
1,18_627
1,18_427
1,18_528
